,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,sitka,0,US,1553202977,35,37.17,-99.65,64,4
1,cape town,0,ZA,1553202966,77,-33.93,18.42,64.99,19.46
2,kieta,92,PG,1553203216,100,-6.22,155.63,80.17,3.89
3,dapawan,36,PH,1553203390,100,12.41,122.03,78.91,12.57
4,lasa,0,CY,1553202936,87,34.92,32.53,57.2,2.24
5,laguna,5,MX,1553197680,21,27.52,-110.01,84.2,13.87
6,breves,88,BR,1553203207,89,-1.68,-50.48,79.9,4.9
7,mataura,76,NZ,1553203207,87,-46.19,168.86,64.99,4.12
8,cockburn town,0,TC,1553203391,93,21.46,-71.14,81.52,6.87
9,rikitea,0,PF,1553203392,98,-23.12,-134.97,79.09,20.07
10,hermanus,64,ZA,1553202938,74,-34.42,19.24,64,4
11,ushuaia,75,AR,1553200800,87,-54.81,-68.31,53.6,18.34
12,puebla,64,MX,1553203320,77,19.04,-98.2,60.91,6.35
13,saint-avertin,0,FR,1553203144,66,47.36,0.74,51.8,8.05
14,rio grande,20,BR,1553198400,43,-32.03,-52.1,73.4,10.29
15,provideniya,0,RU,1553200200,60,64.42,-173.23,5,15.66
16,ucluelet,40,CA,1553203084,81,48.94,-125.55,62.01,11.41
17,jamestown,0,AU,1553203393,85,-33.21,138.6,55.06,4.52
18,sabha,0,LY,1553203258,46,27.03,14.43,64.33,9.1
19,busselton,48,AU,1553203215,61,-33.64,115.35,66.99,19.06
20,te anau,68,NZ,1553203393,88,-45.41,167.72,58.75,3.4
21,torremolinos,40,ES,1553203272,62,36.62,-4.5,59,9.17
22,sonoita,1,US,1553203385,12,31.68,-110.66,70,16.11
23,comodoro rivadavia,0,AR,1553202000,66,-45.87,-67.48,55.4,1.1
24,yellowknife,20,CA,1553203365,64,62.45,-114.38,39.2,20.8
25,ilave,48,PE,1553203221,88,-16.09,-69.64,51.91,3.51
26,pisco,0,PE,1553198400,30,-13.71,-76.2,71.6,20.8
27,cabo san lucas,5,MX,1553203212,26,22.89,-109.91,82.99,13.87
28,punta arenas,40,CL,1553202789,62,-53.16,-70.91,57.2,14.99
29,baoying,88,CN,1553203395,79,33.24,119.31,42.55,11.56
30,the valley,40,AI,1553202963,74,18.22,-63.06,80.6,14.99
31,geraldton,75,CA,1553202000,80,49.72,-86.95,33.8,16.11
32,constitucion,20,MX,1553203217,15,23.99,-104.67,75.99,6.93
33,atuona,24,PF,1553203223,100,-9.8,-139.03,81.16,15.64
34,nikolskoye,90,RU,1553203025,86,59.7,30.79,39.99,6.71
35,paungde,0,MM,1553203223,77,18.49,95.51,69.64,4.56
36,klaksvik,88,FO,1553201400,80,62.23,-6.59,41,11.41
37,ust-kuyga,20,RU,1553203396,44,70,135.55,-15.33,6.24
38,thompson,40,CA,1553202000,47,55.74,-97.86,35.6,12.75
39,camacha,40,PT,1553202000,63,33.08,-16.33,62.6,12.75
40,barrow,20,AR,1553203397,75,-38.31,-60.23,61.9,7.54
41,avarua,48,CK,1553200200,83,-21.21,-159.78,84.2,8.05
42,uarini,75,BR,1553198400,83,-2.98,-65.16,78.8,4.7
43,tuktoyaktuk,90,CA,1553202000,78,69.44,-133.03,15.8,13.87
44,carnarvon,0,ZA,1553203225,45,-30.97,22.13,59.47,11.95
45,ambagarh chauki,0,IN,1553203226,72,20.78,80.75,72.25,5.64
46,vallenar,0,CL,1553203398,69,-28.58,-70.76,70.72,2.84
47,kapaa,75,US,1553203395,61,22.08,-159.32,78.8,16.11
48,havre-saint-pierre,90,CA,1553202000,87,50.23,-63.6,32,8.05
49,saskylakh,76,RU,1553203398,77,71.97,114.09,8.53,10.04
50,tasiilaq,80,GL,1553201400,85,65.61,-37.64,12.2,47.2
51,port elizabeth,90,US,1553203385,87,39.31,-74.98,52,18.34
52,butaritari,64,KI,1553203227,100,3.07,172.79,81.88,8.14
53,fairbanks,24,US,1553203238,53,64.84,-147.72,50,4.12
54,dzilam gonzalez,0,MX,1553203399,40,21.28,-88.93,85.12,8.77
55,alihe,48,CN,1553203399,71,50.57,123.73,4.93,2.62
56,castro,90,CL,1553198400,100,-42.48,-73.76,55.4,8.05
57,warangal,0,IN,1553203400,73,17.99,79.6,74.41,10.16
58,dakar,75,SN,1553202000,88,14.69,-17.45,69.8,6.93
59,lebu,64,ET,1553203229,47,8.96,38.73,56.59,5.53
60,velingara,12,SN,1553203401,40,13.64,-16.01,78.55,11.45
61,airai,8,TL,1553203401,86,-8.93,125.41,65.95,1.5
62,longfeng,75,CN,1553203352,93,31.05,103.87,53.01,4.47
63,ostrovnoy,0,RU,1553203230,85,68.05,39.51,19.78,11.34
64,corpus christi,40,US,1553203384,60,27.8,-97.4,78.8,13.87
65,talnakh,88,RU,1553203266,88,69.49,88.39,23.2,7.54
66,saint-philippe,75,CA,1553203231,87,45.36,-73.48,45,11.41
67,matara,76,PE,1553203402,82,-13.74,-72.9,50.83,2.39
68,qaanaaq,32,GL,1553203402,52,77.48,-69.36,-19.11,6.35
69,severo-kurilsk,36,RU,1553203402,100,50.68,156.12,19.69,3.06
70,kawalu,48,ID,1553203232,93,-7.38,108.21,65.41,2.06
71,khatanga,32,RU,1553203403,83,71.98,102.47,2.77,10.6
72,fortuna,0,ES,1553203355,50,38.18,-1.13,57.2,5.82
73,fare,44,PF,1553203232,98,-16.7,-151.02,84.58,6.53
74,albany,90,US,1553203323,75,42.65,-73.75,43,8.05
75,tezu,92,IN,1553203404,99,27.93,96.16,49.66,1.72
